,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178
0,0,539,899,1260,1623,1990,2365,2756,3179,3307,3922,4075,4381,4993,5140,5434,6022,6121,6678,7074,7507,7655,7951,8543,8650,9223,9651,9789,10065,10617,11003,11416,11524,12099,12531,12677,12969,13553,13644,14185,14549,14918,15297,15696,16135,16295,16615,16896,17458,17864,17958,18505,18881,19274,19701,19837,20109,20653,21023,21404,21807,22254,22430,22782,23127,23458,23761,24367,24502,24772,25312,25674,26039,26410,26793,27200,27296,27847,28231,28640,28740,29299,29699,30140,30304,30632,30929,31523,31634,32215,32659,32829,33169,33490,33773,34339,34753,34863,35442,35882,36044,36368,36657,37235,37673,37831,38147,38420,38966,39340,39729,40148,40268,40867,40988,41589,41714,42323,42464,42746,43310,43720,43822,44385,44793,44891,45446,45838,46263,46395,47018,47187,47525,47842,48117,48667,49049,49454,49546,50089,50457,50834,51229,51660,51804,52092,52668,53102,53252,53552,54152,54275,54880,55013,55638,55811,56157,56490,56797,57411,57562,57864,58468,58599,59220,59385,59715,60016,60618,60745,61358,61507,61805,62401,62516,63105,63206,63767,64171
1,1,541,903,1268,1639,2022,2429,2525,3076,3460,3869,3969,4528,4928,5369,5533,5861,6158,6752,6863,7444,7888,8058,8398,8719,9002,9568,9982,10092,10671,11111,11273,11597,11886,12464,12902,13060,13376,13649,14195,14569,14958,15377,15497,16096,16217,16818,16943,17552,17693,17975,18539,18949,19051,19614,20022,20120,20675,21067,21492,21624,22247,22416,22754,23071,23346,23896,24278,24683,24775,25318,25686,26063,26458,26889,27033,27321,27897,28331,28481,28781,29381,29504,30109,30242,30867,31040,31386,31719,32026,32640,32791,33093,33697,33828,34449,34614,34944,35245,35847,35974,36587,36736,37034,37630,37745,38334,38435,38996,39400,39490,40029,40389,40750,41113,41480,41855,42246,42669,42797,43412,43565,43871,44483,44630,44924,45512,45611,46168,46564,46997,47145,47441,48033,48140,48713,49141,49279,49555,50107,50493,50906,51014,51589,52021,52167,52459,53043,53134,53675,54039,54408,54787,55186,55625,55785,56105,56386,56948,57354,57448,57995,58371,58764,59191,59327,59599,60143,60513,60894,61297,61744,61920,62272,62617,62948,63251,63857,63992
2,2,543,907,1276,1655,2054,2493,2653,2973,3254,3816,4222,4316,4863,5239,5632,6059,6195,6467,7011,7381,7762,8165,8612,8788,9140,9485,9816,10119,10725,10860,11130,11670,12032,12397,12768,13151,13558,13654,14205,14589,14998,15098,15657,16057,16498,16662,16990,17287,17881,17992,18573,19017,19187,19527,19848,20131,20697,21111,21221,21800,22240,22402,22726,23015,23593,24031,24189,24505,24778,25324,25698,26087,26506,26626,27225,27346,27947,28072,28681,28822,29104,29668,30078,30180,30743,31151,31249,31804,32196,32621,32753,33376,33545,33883,34200,34475,35025,35407,35812,35904,36447,36815,37192,37587,38018,38162,38450,39026,39460,39610,39910,40510,40633,41238,41371,41996,42169,42515,42848,43155,43769,43920,44222,44826,44957,45578,45743,46073,46374,46976,47103,47716,47865,48163,48759,48874,49463,49564,50125,50529,50619,51158,51518,51879,52242,52609,52984,53375,53798,53926,54541,54694,55000,55612,55759,56053,56641,56740,57297,57693,58126,58274,58570,59162,59269,59842,60270,60408,60684,61236,61622,62035,62143,62718,63150,63296,63588,64172
3,3,545,911,1284,1671,2086,2198,2781,3229,3407,3763,4116,4463,4798,5109,5731,5898,6232,6541,7159,7318,7636,7913,8467,8857,9278,9402,10009,10146,10420,10968,11346,11743,12178,12330,12634,13242,13381,13659,14215,14609,15038,15178,15458,16018,16420,16865,17037,17381,17710,18009,18607,18726,19323,19440,20033,20142,20719,21155,21309,21617,22233,22388,22698,23318,23481,23807,24100,24686,24781,25330,25710,26111,26554,26722,27058,27371,27997,28172,28522,28863,29186,29473,30047,30477,30619,30903,31471,31889,32007,32602,32715,33300,33393,33938,34310,34695,35106,35210,35777,36193,36307,36894,36991,37544,37932,38349,38465,39056,39161,39730,40150,40272,40875,41004,41621,41778,42092,42720,42899,43257,43614,43969,44320,44663,44990,45285,45875,45978,46543,46955,47061,47632,48056,48186,48805,48966,49288,49573,50143,50565,50691,51302,51447,51737,52317,52759,52925,53257,53562,54172,54315,54601,55173,55599,55733,56360,56537,56891,57240,57579,57898,58177,58735,59133,59570,59726,60038,60662,60833,61175,61500,61791,62373,62819,62993,63341,63678,63993
4,4,547,915,1292,1687,2118,2262,2550,3126,3560,3710,4010,4610,4733,5338,5471,6096,6269,6615,6948,7255,7869,8020,8322,8926,9057,9678,9843,10173,10474,11076,11203,11816,11965,12263,12859,12974,13563,13664,14225,14629,14719,15258,15618,15979,16342,16709,17084,17475,17898,18026,18641,18794,19100,19712,19859,20153,20741,20840,21397,21793,22226,22374,22670,23262,23369,23942,24370,24508,24784,25336,25722,26135,26243,26818,27250,27396,27688,28272,28363,28904,29268,29637,30016,30415,30854,31014,31334,31615,32177,32583,32677,33224,33600,33993,34420,34556,34828,35372,35742,36123,36526,36973,37149,37501,37846,38177,38480,39086,39221,39491,40031,40393,40758,41129,41512,41919,42015,42566,42950,43359,43459,44018,44418,44859,45023,45351,45648,46242,46353,46934,47378,47548,47888,48209,48492,49058,49472,49582,50161,50601,50763,51087,51376,51954,52392,52550,52866,53139,53685,54059,54448,54867,54987,55586,55707,56308,56433,57042,57183,57465,58029,58439,58541,59104,59512,59610,60165,60557,60982,61114,61737,61906,62244,62561,62836,63386,63768,64173
5,5,549,919,1300,1703,2150,2326,2678,3023,3354,3657,4263,4398,4668,5208,5570,5935,6306,6689,7096,7192,7743,8127,8536,8636,9195,9595,10036,10200,10528,10825,11419,11530,12111,12555,12725,13065,13386,13669,14235,14649,14759,15338,15778,15940,16264,16553,17131,17569,17727,18043,18316,18862,19236,19625,20044,20164,20763,20884,21485,21610,22219,22360,22642,23206,23616,23718,24281,24689,24787,25342,25734,26159,26291,26914,27083,27421,27738,28013,28563,28945,29350,29442,29985,30353,30730,31125,31556,31700,31988,32564,32998,33148,33448,34048,34171,34776,34909,35534,35707,36053,36386,36693,37307,37458,37760,38364,38495,39116,39281,39611,39912,40514,40641,41254,41403,41701,42297,42412,43001,43102,43663,44067,44157,44696,45056,45417,45780,46147,46522,46913,47336,47464,48079,48232,48538,49150,49297,49591,50179,50278,50835,51231,51664,51812,52108,52700,52807,53380,53808,53946,54222,54774,55160,55573,55681,56256,56688,56834,57126,57710,57801,58342,58706,59075,59454,59853,60292,60452,60772,61053,61615,62021,62115,62662,63038,63431,63858,63994
6,6,551,923,1308,1719,1823,2390,2806,2920,3507,3604,4157,4545,4962,5078,5669,5774,6343,6763,6885,7488,7617,8234,8391,8705,9333,9512,9870,10227,10582,10933,11276,11603,11898,12488,12591,13156,13568,13674,14245,14669,14799,15418,15579,15901,16186,16756,17178,17304,17915,18060,18350,18930,19372,19538,19870,20175,20785,20928,21214,21786,22212,22346,22973,23150,23504,23853,24192,24511,24790,25348,25746,26183,26339,26651,27275,27446,27788,28113,28404,28986,29432,29606,29954,30291,30606,30877,31419,31785,32158,32545,32960,33072,33655,34103,34281,34637,34990,35337,35672,35983,36605,36772,37106,37415,38033,38192,38510,38787,39341,39731,40152,40276,40883,41020,41294,41842,42220,42617,43052,43204,43508,44116,44255,44533,45089,45483,45912,46052,46332,46892,47294,47739,47911,48255,48584,48883,49481,49600,50197,50314,50907,51016,51593,52029,52183,52491,53107,53262,53572,54192,54355,54681,54974,55560,55655,56204,56584,56985,57428,57596,57932,58245,58871,59046,59396,59737,60060,60347,60921,61351,61493,61777,62345,62763,62881,63476,63589,64174
7,7,553,927,1316,1735,1855,2454,2575,3176,3301,3910,4051,4333,4897,5307,5409,5972,6380,6478,7033,7425,7850,7982,8605,8774,9112,9429,9704,10254,10636,11041,11133,11676,12044,12421,12816,13247,13391,13679,14255,14689,14839,15139,15739,15862,16467,16600,17225,17398,17744,18077,18384,18998,19149,19451,20055,20186,20807,20972,21302,21603,22205,22332,22945,23094,23392,23988,24103,24692,24793,25354,25758,25848,26387,26747,27108,27471,27838,28213,28604,29027,29155,29770,29923,30229,30841,30988,31282,31870,31969,32526,32922,33355,33503,33799,34391,34498,35071,35499,35637,35913,36465,36851,37264,37372,37947,38379,38525,38817,39401,39492,40033,40397,40766,41145,41544,41983,42143,42463,42744,43306,43712,43806,44353,44729,45122,45549,45685,45957,46501,46871,47252,47655,48102,48278,48630,48975,49306,49609,50215,50350,50620,51160,51522,51887,52258,52641,53048,53144,53695,54079,54488,54588,55147,55547,55988,56152,56480,56777,57371,57482,58063,58507,58677,59017,59338,59621,60187,60601,60711,61290,61730,61892,62216,62505,63083,63521,63679,63995
8,8,555,931,1324,1751,1887,2159,2703,3073,3454,3857,4304,4480,4832,5177,5508,5811,6417,6552,6822,7362,7724,8089,8460,8843,9250,9346,9897,10281,10690,10790,11349,11749,12190,12354,12682,12979,13573,13684,14265,14709,14879,15219,15540,15823,16389,16803,16913,17492,17932,18094,18418,18707,19285,19723,19881,20197,20470,21016,21390,21779,22198,22318,22917,23038,23639,23764,24373,24514,24796,25360,25770,25872,26435,26843,26941,27496,27888,28313,28445,29068,29237,29575,29892,30167,30717,31099,31504,31596,32139,32507,32884,33279,33710,33854,34142,34718,35152,35302,35602,36202,36325,36930,37063,37688,37861,38207,38540,38847,39461,39612,39914,40518,40649,41270,41435,41765,42066,42668,42795,43408,43557,43855,44451,44566,45155,45256,45817,46221,46311,46850,47210,47571,47934,48301,48676,49067,49490,49618,50233,50386,50692,51304,51451,51745,52333,52432,52989,53385,53818,53966,54262,54854,54961,55534,55962,56100,56376,56928,57314,57727,57835,58410,58842,58988,59280,59864,59955,60496,60860,61229,61608,62007,62446,62606,62926,63207,63769,64175
9,9,557,935,1332,1767,1919,2223,2831,2970,3248,3804,4198,4627,4767,5047,5607,6009,6454,6626,6970,7299,7598,8196,8315,8912,9029,9622,9731,10308,10744,10898,11206,11822,11977,12287,12907,13070,13396,13689,14275,14370,14919,15299,15700,16143,16311,16647,16960,17586,17761,18111,18452,18775,19062,19636,20066,20208,20492,21060,21478,21596,22191,22304,22889,22982,23527,23899,24284,24695,24799,25366,25782,25896,26483,26580,27133,27521,27938,28054,28645,28750,29319,29739,29861,30464,30593,31210,31367,31681,32309,32488,32846,33203,33558,33909,34252,34579,34874,35464,35567,36132,36544,36650,37221,37645,37775,38394,38555,38877,39162,39732,40154,40280,40891,41036,41326,41906,42348,42514,42846,43151,43761,43904,44190,44762,45188,45322,45949,46126,46480,46829,47168,47487,47766,48324,48722,49159,49315,49627,50251,50422,50764,51089,51380,51962,52408,52582,52930,53267,53582,53853,54395,54761,55134,55521,55936,56048,56631,57079,57257,57613,57966,58313,58648,58959,59581,59748,60082,60391,61009,61168,61486,61763,62317,62707,63128,63252,63859,63996
